id	targets	type
PRKACA_Homo sapiens	291	kinase
CDK2_Homo sapiens	275	kinase
CDK1_Homo sapiens	262	kinase
CSNK2A1_Homo sapiens	227	kinase
SRC_Homo sapiens	213	kinase
AAK1		target
AARS2		target
ABCA1		target
ABCB1		target
ABCC1		target
ABCF1		target
ABI1		target
ACE		target
ADD1		target
ADD3		target
ADRB1		target
ADRB2		target
AFAP1		target
AFDN		target
AGTR1		target
AHNAK		target
AICDA		target
AIP		target
AJUBA		target
AKAP12		target
AKAP13		target
AKAP8		target
AKAP9		target
AKIRIN2		target
AKT1		target
ALDH5A1		target
ALOX5		target
AML1 iso8		target
AMOT		target
AMPH		target
ANAPC1		target
ANAPC4		target
ANKLE2		target
ANKRD17		target
ANP32A		target
ANP32B		target
ANXA1		target
ANXA2		target
AP2B1		target
APC		target
APLP2		target
APOBEC3G		target
APOE		target
APP		target
APPL1		target
AQP2		target
AQP4		target
AQP5		target
AR		target
ARAF		target
ARFGEF1		target
ARHGAP17		target
ARHGAP19		target
ARHGAP5		target
ARHGDIA		target
ARHGDIB		target
ARHGEF4 iso3		target
ARHGEF6		target
ARID1A		target
ARID4A		target
ARNT		target
ARRB2		target
ASIC1 iso1		target
ATF1		target
ATF2		target
ATG9A		target
ATP1A1		target
ATPIF1		target
ATR		target
ATRIP		target
ATXN1		target
ATXN2L		target
AURKA		target
AVPR2		target
Abl iso2		target
BAD		target
BAP18		target
BARD1		target
BAZ2A		target
BCAM		target
BCAR1		target
BCL2		target
BCLAF1		target
BDKRB2		target
BIK		target
BIM iso2		target
BIRC5		target
BLM		target
BMX		target
BOD1L1		target
BORA		target
BRCA1		target
BRMS1		target
BRSK2		target
BTG1		target
BUB1		target
BUB1B		target
C1R		target
C1orf198		target
C2orf49		target
C6orf106		target
C9orf40		target
CA9		target
CACNA1C		target
CACNA1H		target
CAD		target
CALD1		target
CALM1		target
CALU iso15		target
CAMKK1		target
CAMSAP1		target
CANX		target
CAPN2		target
CAPZA1		target
CARD9		target
CARHSP1		target
CASP2		target
CASP8		target
CASP8 iso4		target
CASP9		target
CASQ2		target
CAV1		target
CAV2		target
CBL		target
CBLC		target
CBX1		target
CBX3		target
CC2D1A		target
CCDC6		target
CCDC88A		target
