source	target
autocatalysis_Mus musculus	Prkaca
autocatalysis_Mus musculus	Lck
autocatalysis_Mus musculus	Hck
autocatalysis_Mus musculus	Csf1r
autocatalysis_Mus musculus	Camk2a
autocatalysis_Mus musculus	Prkce
autocatalysis_Mus musculus	Fes
autocatalysis_Mus musculus	Rps6ka3
autocatalysis_Mus musculus	Tec
autocatalysis_Mus musculus	Lyn
autocatalysis_Mus musculus	Camk2b
autocatalysis_Mus musculus	Prkcd
autocatalysis_Mus musculus	Ptk2
autocatalysis_Mus musculus	Ret
autocatalysis_Mus musculus	Kdr
autocatalysis_Mus musculus	Btk
autocatalysis_Mus musculus	Fyn
autocatalysis_Mus musculus	Txk
autocatalysis_Mus musculus	Syk
autocatalysis_Mus musculus	Map3k1
autocatalysis_Mus musculus	Prkcg
autocatalysis_Mus musculus	Fer
autocatalysis_Mus musculus	Tek
autocatalysis_Mus musculus	Epha4
autocatalysis_Mus musculus	Epha2
autocatalysis_Mus musculus	Abl2
autocatalysis_Mus musculus	Musk
autocatalysis_Mus musculus	Dyrk1a
autocatalysis_Mus musculus	Fgfr3
autocatalysis_Mus musculus	Prkd1
autocatalysis_Mus musculus	Jak2
autocatalysis_Mus musculus	Ddr2
autocatalysis_Mus musculus	Atm
autocatalysis_Mus musculus	Dapk1
autocatalysis_Mus musculus	Pak4
autocatalysis_Mus musculus	Prkd2
autocatalysis_Mus musculus	Grk5
autocatalysis_Mus musculus	Ptk2b
autocatalysis_Mus musculus	Prkab1
autocatalysis_Mus musculus	Stk11
autocatalysis_Mus musculus	Eif2ak1
autocatalysis_Mus musculus	Stk25
PKA_group_Mus musculus	Fcor
PKA_group_Mus musculus	Rara
PKA_group_Mus musculus	Hspb1
PKA_group_Mus musculus	Vim
PKA_group_Mus musculus	Tnni3
PKA_group_Mus musculus	Stmn1
PKA_group_Mus musculus	Arpp19
PKA_group_Mus musculus	Pfkfb2
PKA_group_Mus musculus	Enah
PKA_group_Mus musculus	Nfe2
PKA_group_Mus musculus	Plcl1
PKA_group_Mus musculus	Sik1
PKA_group_Mus musculus	Bad
PKA_group_Mus musculus	Lasp1
PKA_group_Mus musculus	Mef2d
PKA_group_Mus musculus	Ppp1r9b
PKA_group_Mus musculus	Naxe
PKA_group_Mus musculus	Acly
PKA_group_Mus musculus	Smtnl1
PKA_group_Mus musculus	Raf1
PKA_group_Mus musculus	Arpp21
PKA_group_Mus musculus	Pik3cg
PKA_group_Mus musculus	Stk11
PKA_group_Mus musculus	Snapin
PKA_group_Mus musculus	Itpr2
ERK2_Mus musculus	Fos
ERK2_Mus musculus	Itpr1
ERK2_Mus musculus	Ets2
ERK2_Mus musculus	Atf2
ERK2_Mus musculus	Tnfrsf1a
ERK2_Mus musculus	Cebpb
ERK2_Mus musculus	Dusp1
ERK2_Mus musculus	Nr5a1
ERK2_Mus musculus	Ddit3
ERK2_Mus musculus	Elk1
ERK2_Mus musculus	Pla2g4a
ERK2_Mus musculus	Stmn1
ERK2_Mus musculus	Smad4
ERK2_Mus musculus	Cry1
ERK2_Mus musculus	Pgr
ERK2_Mus musculus	Gata4
ERK2_Mus musculus	Nr2c1
ERK2_Mus musculus	Khdrbs1
ERK2_Mus musculus	Neurod1
ERK2_Mus musculus	Ksr1
ERK2_Mus musculus	Ppp1r9b
ERK2_Mus musculus	Myocd
ERK2_Mus musculus	Raf1
ERK2_Mus musculus	Cry2
ERK2_Mus musculus	Sorbs3
