id	targets	type
autocatalysis_Mus musculus	99	kinase
autocatalysis_Homo sapiens	96	kinase
PKA_Homo sapiens	57	kinase
PKA_Mus musculus	53	kinase
PKC_Homo sapiens	29	kinase
ADA1A		target
ADDA		target
ADDB		target
ADDG		target
ADRB1		target
ADRB2		target
ALK		target
AP2A		target
AP2B		target
AP2C		target
AT12A		target
AT1A1		target
AT1A2		target
AT1A3		target
AT1A4		target
AT2B2		target
AT2B3		target
AT2B4		target
ATP4A		target
BCKD		target
BCL2		target
BLK		target
BMX		target
BTK		target
CAC1A		target
CAC1B		target
CAC1C		target
CAC1D		target
CAC1E		target
CAC1F		target
CAC1S		target
CAC2D		target
CAYP1		target
CP2B6		target
CP2B9		target
CP2BA		target
CP2BJ		target
CP2BK		target
CSF1R		target
CSK		target
CSTF2		target
DAPK1		target
DAPK2		target
DCX		target
DDR1		target
DDR2		target
DESP		target
DYR1A		target
DYR1B		target
E2AK1		target
E2AK4		target
EGFR		target
EPB42		target
EPHA1		target
EPHA2		target
EPHA3		target
EPHA4		target
EPHA5		target
EPHA6		target
EPHA7		target
EPHA8		target
EPHB1		target
EPHB2		target
EPHB3		target
EPHB4		target
ERBB2		target
ERBB4		target
EWS		target
F261		target
F262		target
F263		target
F264		target
FAK1		target
FAK2		target
FER		target
FES		target
FGFR1		target
FGFR2		target
FGFR3		target
FGFR4		target
FGR		target
FRK		target
FYN		target
GLU2B		target
GP1BB		target
GPSM2		target
GRIK1		target
GRK5		target
GRK6		target
HCK		target
IGF1R		target
IL1R1		target
IL7RA		target
INSR		target
INSRR		target
IPP1		target
ITK		target
ITPR1		target
JAK1		target
JAK2		target
JAK3		target
KAP2		target
KAPCG		target
KBF1		target
KCC2A		target
KCC4		target
KCNA1		target
KCNA2		target
KCNA3		target
KCNA4		target
KCNA5		target
KCNA6		target
KCNE1		target
KCNQ2		target
KGP1A		target
KIT		target
KPB1		target
KPBB		target
KPCA		target
KPCB		target
KPCE		target
KPCG		target
KPSH1		target
KPYR		target
KS6A1		target
KS6A2		target
KS6A3		target
KSYK		target
LCK		target
LIPS		target
LTK		target
LYN		target
MAPK2		target
MEL18		target
MERTK		target
MET		target
MRP		target
MUSK		target
NEB1		target
NEK1		target
NEK2		target
NEK3		target
NEK4		target
NEK8		target
NEK9		target
NEUG		target
NEUM		target
NMDZ1		target
NOS2A		target
NPT2		target
NR4A1		target
NTRK2		target
NTRK3		target
PDK4		target
PDPK1		target
PEA15		target
PGFRA		target
PGFRB		target
PH4H		target
PHOS		target
PLCB1		target
PLS2		target
PP1RA		target
PPLA		target
PPR3A		target
PRKDC		target
PTK6		target
PTPRR		target
RAF1		target
REL		target
RET		target
RGS1		target
RK		target
RON		target
ROR1		target
ROR2		target
ROS		target
RYK		target
S25BP		target
SC5A5		target
SCN7A		target
SRC		target
SRMS		target
SSR5		target
ST38L		target
STAR		target
STK3		target
STK38		target
TEC		target
TESK1		target
TESK2		target
TIE1		target
TIE2		target
TPH1		target
TXK		target
TY3H		target
TYK2		target
TYRO3		target
UFO		target
VGFR1		target
VGFR2		target
VGFR3		target
VIME		target
VTNC		target
WNK1		target
WNK2		target
WNK3		target
WNK4		target
YES		target
ZAP70		target
