source	target
autocatalysis_Homo sapiens	NEK4
autocatalysis_Homo sapiens	NEK8
autocatalysis_Homo sapiens	NEK9
autocatalysis_Homo sapiens	NTRK2
autocatalysis_Homo sapiens	NTRK3
autocatalysis_Homo sapiens	PDK4
autocatalysis_Homo sapiens	PGFRA
autocatalysis_Homo sapiens	PTK6
autocatalysis_Homo sapiens	RK
autocatalysis_Homo sapiens	RON
autocatalysis_Homo sapiens	ROR1
autocatalysis_Homo sapiens	ROR2
autocatalysis_Homo sapiens	ROS
autocatalysis_Homo sapiens	RYK
autocatalysis_Homo sapiens	SRMS
autocatalysis_Homo sapiens	STK3
autocatalysis_Homo sapiens	TEC
autocatalysis_Homo sapiens	TESK1
autocatalysis_Homo sapiens	TESK2
autocatalysis_Homo sapiens	TIE1
autocatalysis_Homo sapiens	TXK
autocatalysis_Homo sapiens	TYK2
autocatalysis_Homo sapiens	TYRO3
autocatalysis_Homo sapiens	UFO
autocatalysis_Homo sapiens	VGFR1
autocatalysis_Homo sapiens	VGFR2
autocatalysis_Homo sapiens	VGFR3
autocatalysis_Homo sapiens	WNK1
autocatalysis_Homo sapiens	WNK2
autocatalysis_Homo sapiens	WNK3
autocatalysis_Homo sapiens	YES
PKA_Homo sapiens	ADA1A
PKA_Homo sapiens	ADRB1
PKA_Homo sapiens	ADRB2
PKA_Homo sapiens	AP2B
PKA_Homo sapiens	AP2C
PKA_Homo sapiens	AT12A
PKA_Homo sapiens	AT1A1
PKA_Homo sapiens	AT1A2
PKA_Homo sapiens	AT1A3
PKA_Homo sapiens	AT1A4
PKA_Homo sapiens	AT2B2
PKA_Homo sapiens	ATP4A
PKA_Homo sapiens	CAC1A
PKA_Homo sapiens	CAC1B
PKA_Homo sapiens	CAC1C
PKA_Homo sapiens	CAC1D
PKA_Homo sapiens	CAC1E
PKA_Homo sapiens	CAC1F
PKA_Homo sapiens	CAC1S
PKA_Homo sapiens	CAC2D
PKA_Homo sapiens	CAYP1
PKA_Homo sapiens	CP2B6
PKA_Homo sapiens	DESP
PKA_Homo sapiens	EPB42
PKA_Homo sapiens	F261
PKA_Homo sapiens	F262
PKA_Homo sapiens	F263
PKA_Homo sapiens	GPSM2
PKA_Homo sapiens	ITPR1
PKA_Homo sapiens	KAP2
