id	targets	type
autocatalysis_Homo sapiens	32	kinase
None_Homo sapiens	24	kinase
None_Mus musculus	12	kinase
PKA_Homo sapiens	12	kinase
PKC_Homo sapiens	11	kinase
BAD		target
BRAF1		target
CABL1		target
CD44		target
CFTR		target
DAPK1		target
DAPK2		target
DYR1B		target
E2AK2		target
EGFR		target
EPHB1		target
FAK1		target
FAK2		target
FGFR1		target
FSCN1		target
GP1BB		target
HSPB1		target
ICK		target
IF2A		target
IKBA		target
INSR		target
IPP1		target
IPPD		target
JIP1		target
K2C8		target
KCC1A		target
KCC1D		target
KCC4		target
KCNQ2		target
KPCB		target
KPYR		target
LCK		target
MACS		target
MET		target
MK01		target
MK03		target
MK08		target
MK09		target
MK10		target
MK12		target
MK13		target
MKNK1		target
MKNK2		target
MPIP3		target
NF2L2		target
NTRK1		target
PDPK1		target
PGFRB		target
PLEK		target
PLS1		target
PRKDC		target
PTN1		target
RAF1		target
RET		target
RGS19		target
SHC1		target
SNP25		target
SRC		target
ST38L		target
STAR		target
STK24		target
STK38		target
STK4		target
STMN1		target
SYUA		target
SYUB		target
T2FA		target
TAF1		target
TAU		target
TF65		target
TIE2		target
TNNI3		target
VASP		target
VGFR1		target
VIME		target
VRK1		target
VTNC		target
WNK4		target
ZAP70		target
