id	targets	type
ITK_Homo sapiens	3595	kinase
Fgr_Homo sapiens	3595	kinase
Srm_Homo sapiens	3595	kinase
HCK_Homo sapiens	3595	kinase
Fyn_Homo sapiens	3595	kinase
Brk_Homo sapiens	3595	kinase
BTK_Homo sapiens	3595	kinase
BMX_Homo sapiens	3595	kinase
BLK_Homo sapiens	3595	kinase
Tec_Homo sapiens	3595	kinase
TXK_Homo sapiens	3595	kinase
Abl2_Homo sapiens	3595	kinase
Lck_Homo sapiens	3595	kinase
Lyn_Homo sapiens	3595	kinase
Yes_Homo sapiens	3595	kinase
PKCbeta_Homo sapiens	3282	kinase
PAK1_Homo sapiens	3050	kinase
DAPK3_Homo sapiens	2914	kinase
CK1alpha_Homo sapiens	2810	kinase
PKCalpha_Homo sapiens	2787	kinase
MAPK3_Homo sapiens	2579	kinase
CaMKIIalpha_Homo sapiens	2436	kinase
FRK_Homo sapiens	1739	kinase
PKCzeta_Homo sapiens	1721	kinase
MAPK1_Homo sapiens	1561	kinase
PKAalpha_Homo sapiens	1228	kinase
CDK1_Homo sapiens	1099	kinase
CDK2_Homo sapiens	862	kinase
TTK_Homo sapiens	858	kinase
CK2alpha_Homo sapiens	807	kinase
PKBalpha_Homo sapiens	633	kinase
PKCdelta_Homo sapiens	532	kinase
HIPK2_Homo sapiens	529	kinase
GSK3beta_Homo sapiens	488	kinase
ATM_Homo sapiens	475	kinase
PKCepsilon_Homo sapiens	466	kinase
PKCgamma_Homo sapiens	449	kinase
Src_Homo sapiens	446	kinase
PKCiota_Homo sapiens	397	kinase
GRK2_Homo sapiens	396	kinase
RAF1_Homo sapiens	393	kinase
CDK5_Homo sapiens	376	kinase
CK1delta_Homo sapiens	370	kinase
MAPK8_Homo sapiens	364	kinase
PKCtheta_Homo sapiens	362	kinase
ROCK1_Homo sapiens	320	kinase
TGFbR2_Homo sapiens	312	kinase
PKG1cGKI_Homo sapiens	295	kinase
PDHK1_Homo sapiens	283	kinase
CaMKIV_Homo sapiens	270	kinase
LKB1_Homo sapiens	249	kinase
CK2a2_Homo sapiens	224	kinase
PKBbeta_Homo sapiens	224	kinase
EGFR_Homo sapiens	214	kinase
PKCeta_Homo sapiens	213	kinase
PKAgamma_Homo sapiens	206	kinase
ATR_Homo sapiens	204	kinase
PLK1_Homo sapiens	202	kinase
CDK4_Homo sapiens	196	kinase
DNAPK_Homo sapiens	180	kinase
MAPK11_Homo sapiens	179	kinase
PAK2_Homo sapiens	174	kinase
Abl_Homo sapiens	174	kinase
MAP2K1_Homo sapiens	170	kinase
PKAbeta_Homo sapiens	158	kinase
CaMKIIbeta_Homo sapiens	157	kinase
GSK3alpha_Homo sapiens	149	kinase
AuroraA_Homo sapiens	144	kinase
PKBgamma_Homo sapiens	140	kinase
NLK_Homo sapiens	136	kinase
AuroraB_Homo sapiens	133	kinase
NEK2_Homo sapiens	132	kinase
MAPK9_Homo sapiens	127	kinase
MAP2K4_Homo sapiens	126	kinase
PKG2cGKII_Homo sapiens	124	kinase
ErbB2_Homo sapiens	123	kinase
CDK7_Homo sapiens	119	kinase
ARAF_Homo sapiens	117	kinase
IKKbeta_Homo sapiens	116	kinase
CLK1_Homo sapiens	109	kinase
CDK3_Homo sapiens	109	kinase
Pim1_Homo sapiens	108	kinase
Kit_Homo sapiens	106	kinase
MAPK14_Homo sapiens	106	kinase
MAPK12_Homo sapiens	104	kinase
PLK4_Homo sapiens	97	kinase
IKKalpha_Homo sapiens	97	kinase
CaMKIIdelta_Homo sapiens	94	kinase
EphB2_Homo sapiens	93	kinase
PKD1_Homo sapiens	92	kinase
Met_Homo sapiens	90	kinase
AMPKa2_Homo sapiens	89	kinase
PAK3_Homo sapiens	88	kinase
MAP2K3_Homo sapiens	88	kinase
Tyk2_Homo sapiens	87	kinase
CaMKIIgamma_Homo sapiens	87	kinase
EphA2_Homo sapiens	87	kinase
MAPK13_Homo sapiens	86	kinase
CK1epsilon_Homo sapiens	86	kinase
MAP2K6_Homo sapiens	85	kinase
InsR_Homo sapiens	82	kinase
ROCK2_Homo sapiens	79	kinase
PAK4_Homo sapiens	78	kinase
MAPK10_Homo sapiens	78	kinase
ACTR2_Homo sapiens	77	kinase
TRKA_Homo sapiens	76	kinase
ACTR2B_Homo sapiens	75	kinase
KDR_Homo sapiens	74	kinase
MAPK7_Homo sapiens	70	kinase
EIF2AK2_Homo sapiens	69	kinase
IGF1R_Homo sapiens	68	kinase
EphB1_Homo sapiens	67	kinase
PDGFRalpha_Homo sapiens	67	kinase
FLT1_Homo sapiens	66	kinase
ErbB4_Homo sapiens	65	kinase
RSK3_Homo sapiens	65	kinase
RSK2_Homo sapiens	65	kinase
PDGFRbeta_Homo sapiens	65	kinase
CDK6_Homo sapiens	63	kinase
MAP2K2_Homo sapiens	63	kinase
MAP2K7_Homo sapiens	63	kinase
EphA3_Homo sapiens	62	kinase
p70S6K_Homo sapiens	60	kinase
SGK1_Homo sapiens	59	kinase
EphA4_Homo sapiens	58	kinase
MAP2K5_Homo sapiens	57	kinase
TRKB_Homo sapiens	57	kinase
CSF1R_Homo sapiens	56	kinase
DMPK1_Homo sapiens	55	kinase
EphA1_Homo sapiens	54	kinase
MRCKa_Homo sapiens	52	kinase
ErbB3_Homo sapiens	50	kinase
MOK_Homo sapiens	46	kinase
MAP4K4_Homo sapiens	46	kinase
EphB3_Homo sapiens	45	kinase
EphA5_Homo sapiens	44	kinase
FLT3_Homo sapiens	42	kinase
CLK2_Homo sapiens	41	kinase
EphB4_Homo sapiens	41	kinase
EphA7_Homo sapiens	38	kinase
