id	targets	type
PKA_group_Homo sapiens	163	kinase
autocatalysis_Homo sapiens	118	kinase
SRC_Homo sapiens	107	kinase
PKC_group_Homo sapiens	102	kinase
CK2_group_Homo sapiens	84	kinase
PKB_group_Homo sapiens	49	kinase
ATM_Homo sapiens	42	kinase
FYN_Homo sapiens	36	kinase
MAPK_group_Homo sapiens	36	kinase
GSK3B_Homo sapiens	33	kinase
PLK1_Homo sapiens	31	kinase
LCK_Homo sapiens	29	kinase
EGFR_Homo sapiens	28	kinase
CDK_group_Homo sapiens	28	kinase
PKCa_Homo sapiens	27	kinase
PAK1_Homo sapiens	25	kinase
LYN_Homo sapiens	25	kinase
CK1_group_Homo sapiens	24	kinase
CDK2_Homo sapiens	24	kinase
MAPKAPK2_Homo sapiens	23	kinase
AKT1_Homo sapiens	23	kinase
SYK_Homo sapiens	22	kinase
CDK5_Homo sapiens	21	kinase
AMPK_group_Homo sapiens	21	kinase
CDC2_Homo sapiens	20	kinase
ROCK1_Homo sapiens	19	kinase
RSK_group_Homo sapiens	18	kinase
LKB1_Homo sapiens	18	kinase
PKACa_Homo sapiens	18	kinase
SGK1_Homo sapiens	16	kinase
CK2a1_Homo sapiens	15	kinase
MAPK1_Homo sapiens	15	kinase
INSR_Homo sapiens	15	kinase
PAK2_Homo sapiens	14	kinase
CSNK2B_Homo sapiens	14	kinase
HCK_Homo sapiens	14	kinase
JAK2_Homo sapiens	14	kinase
SGK_group_Homo sapiens	12	kinase
HIPK2_Homo sapiens	12	kinase
CDK7_Homo sapiens	11	kinase
ZAP70_Homo sapiens	10	kinase
CSK_Homo sapiens	10	kinase
ATR_Homo sapiens	10	kinase
PDK1_Homo sapiens	10	kinase
DAPK1_Homo sapiens	9	kinase
JAK1_Homo sapiens	9	kinase
DAPK3_Homo sapiens	9	kinase
PLK3_Homo sapiens	9	kinase
DYRK1A_Homo sapiens	9	kinase
MAPK3_Homo sapiens	9	kinase
RET_Homo sapiens	9	kinase
ROCK_group_Homo sapiens	9	kinase
CK2a_Homo sapiens	8	kinase
MAP2K4_Homo sapiens	8	kinase
GSK3_Homo sapiens	8	kinase
CHK2_Homo sapiens	7	kinase
MAP2K1_Homo sapiens	7	kinase
Abl_Homo sapiens	7	kinase
BTK_Homo sapiens	7	kinase
MAPK14_Homo sapiens	7	kinase
GSK3A_Homo sapiens	7	kinase
ITK_Homo sapiens	7	kinase
CHK1_Homo sapiens	7	kinase
TBK1_Homo sapiens	7	kinase
FER_Homo sapiens	6	kinase
MAPK8_Homo sapiens	6	kinase
IKK_group_Homo sapiens	6	kinase
ILK_Homo sapiens	6	kinase
VRK1_Homo sapiens	6	kinase
ROCK2_Homo sapiens	6	kinase
TEC_Homo sapiens	6	kinase
MAP2K_group_Homo sapiens	6	kinase
PTK2_Homo sapiens	6	kinase
p70S6K_Homo sapiens	6	kinase
FAK_Homo sapiens	5	kinase
PAK3_Homo sapiens	5	kinase
MAPKAPK5_Homo sapiens	5	kinase
TTK_Homo sapiens	5	kinase
CDK4_Homo sapiens	5	kinase
PKD1_Homo sapiens	5	kinase
MAP2K6_Homo sapiens	5	kinase
JNK_group_Homo sapiens	5	kinase
RSK2_Homo sapiens	5	kinase
FGFR1_Homo sapiens	5	kinase
PKCd_Homo sapiens	5	kinase
MAP2K3_Homo sapiens	5	kinase
GRK_group_Homo sapiens	4	kinase
MAPKAPK3_Homo sapiens	4	kinase
TXK_Homo sapiens	4	kinase
AurA_Homo sapiens	4	kinase
MAPK9_Homo sapiens	4	kinase
IGF1R_Homo sapiens	4	kinase
SRC_group_Homo sapiens	4	kinase
MAP3K5_Homo sapiens	4	kinase
MAP2K7_Homo sapiens	4	kinase
MAP2K2_Homo sapiens	4	kinase
AKT2_Homo sapiens	4	kinase
BARK1_Homo sapiens	4	kinase
