id	targets	type
PRKACA_Homo sapiens	119	kinase
CSNK2A1_Homo sapiens	112	kinase
PRKCA_Homo sapiens	109	kinase
MAPK1_Homo sapiens	72	kinase
CDK1_Homo sapiens	72	kinase
SRC_Homo sapiens	66	kinase
AKT1_Homo sapiens	57	kinase
CSNK2A2_Homo sapiens	47	kinase
PRKCD_Homo sapiens	44	kinase
GSK3B_Homo sapiens	33	kinase
MAPK3_Homo sapiens	33	kinase
MAPK14_Homo sapiens	33	kinase
CDK2_Homo sapiens	32	kinase
PRKCB_Homo sapiens	31	kinase
FYN_Homo sapiens	28	kinase
EGFR_Homo sapiens	27	kinase
LCK_Homo sapiens	27	kinase
CDK5_Homo sapiens	25	kinase
ATM_Homo sapiens	25	kinase
LYN_Homo sapiens	24	kinase
ABL1_Homo sapiens	23	kinase
PRKCG_Homo sapiens	21	kinase
MAPK8_Homo sapiens	21	kinase
CAMK2A_Homo sapiens	20	kinase
RPS6KA1_Homo sapiens	19	kinase
PRKG1_Homo sapiens	18	kinase
PDPK1_Homo sapiens	17	kinase
CAMK2G_Homo sapiens	17	kinase
PRKCZ_Homo sapiens	16	kinase
INSR_Homo sapiens	15	kinase
SYK_Homo sapiens	15	kinase
CSNK2B_Homo sapiens	15	kinase
RPS6KA5_Homo sapiens	14	kinase
PAK1_Homo sapiens	14	kinase
CSNK1A1_Homo sapiens	13	kinase
PLK1_Homo sapiens	13	kinase
MAPKAPK2_Homo sapiens	13	kinase
ROCK1_Homo sapiens	12	kinase
JAK2_Homo sapiens	12	kinase
HCK_Homo sapiens	11	kinase
CSK_Homo sapiens	11	kinase
RPS6KA3_Homo sapiens	10	kinase
PRKCQ_Homo sapiens	10	kinase
PRKCE_Homo sapiens	10	kinase
ZAP70_Homo sapiens	9	kinase
PRKDC_Homo sapiens	9	kinase
ADRBK1_Homo sapiens	9	kinase
MAPK9_Homo sapiens	9	kinase
RET_Homo sapiens	8	kinase
ATR_Homo sapiens	8	kinase
BTK_Homo sapiens	8	kinase
JAK1_Homo sapiens	8	kinase
CSNK1D_Homo sapiens	8	kinase
PRKD1_Homo sapiens	7	kinase
MAPK7_Homo sapiens	7	kinase
IKBKB_Homo sapiens	7	kinase
PDK1_Homo sapiens	7	kinase
CHEK2_Homo sapiens	7	kinase
CHEK1_Homo sapiens	7	kinase
GSK3A_Homo sapiens	6	kinase
GRK5_Homo sapiens	6	kinase
PAK2_Homo sapiens	6	kinase
CAMK1_Homo sapiens	6	kinase
CHUK_Homo sapiens	6	kinase
AURKB_Homo sapiens	6	kinase
CDK7_Homo sapiens	6	kinase
PRKAA1_Homo sapiens	6	kinase
SGK1_Homo sapiens	6	kinase
CAMK2B_Homo sapiens	6	kinase
RPS6KB1_Homo sapiens	5	kinase
EIF2AK2_Homo sapiens	5	kinase
PTK2_Homo sapiens	5	kinase
MAP2K4_Homo sapiens	5	kinase
MAP2K1_Homo sapiens	5	kinase
PRKAA2_Homo sapiens	5	kinase
MAPK12_Homo sapiens	5	kinase
GRK6_Homo sapiens	5	kinase
STK11_Homo sapiens	5	kinase
CSNK1E_Homo sapiens	5	kinase
AKT2_Homo sapiens	5	kinase
PAK3_Homo sapiens	4	kinase
FER_Homo sapiens	4	kinase
MAP2K6_Homo sapiens	4	kinase
RPS6KA2_Homo sapiens	4	kinase
ITK_Homo sapiens	4	kinase
RPS6KA4_Homo sapiens	4	kinase
FGR_Homo sapiens	4	kinase
CDC42BPA_Homo sapiens	4	kinase
PKN1_Homo sapiens	4	kinase
DYRK1A_Homo sapiens	4	kinase
CAMK4_Homo sapiens	4	kinase
PLK3_Homo sapiens	4	kinase
TEC_Homo sapiens	4	kinase
MTOR_Homo sapiens	4	kinase
MAP3K14_Homo sapiens	3	kinase
MAP2K2_Homo sapiens	3	kinase
CDK3_Homo sapiens	3	kinase
LIMK1_Homo sapiens	3	kinase
CDK4_Homo sapiens	3	kinase
RAF1_Homo sapiens	3	kinase
AURKA_Homo sapiens	3	kinase
MAP3K7_Homo sapiens	3	kinase
PTK2B_Homo sapiens	3	kinase
MAPK10_Homo sapiens	3	kinase
PRKG2_Homo sapiens	3	kinase
CCNB1_Homo sapiens	3	kinase
CAMKK1_Homo sapiens	3	kinase
MAPKAPK5_Homo sapiens	3	kinase
MARK1_Homo sapiens	3	kinase
CAMK2D_Homo sapiens	3	kinase
NEK9_Homo sapiens	3	kinase
PRKCH_Homo sapiens	3	kinase
ABL2_Homo sapiens	3	kinase
TXK_Homo sapiens	3	kinase
FGFR4_Homo sapiens	3	kinase
WEE1_Homo sapiens	3	kinase
ADRBK2_Homo sapiens	3	kinase
PIM1_Homo sapiens	3	kinase
HIPK2_Homo sapiens	3	kinase
YES1_Homo sapiens	3	kinase
PDGFRB_Homo sapiens	3	kinase
FGFR3_Homo sapiens	3	kinase
ILK_Homo sapiens	3	kinase
FES_Homo sapiens	2	kinase
CAMKK2_Homo sapiens	2	kinase
ERBB2_Homo sapiens	2	kinase
MAPKAPK3_Homo sapiens	2	kinase
NTRK2_Homo sapiens	2	kinase
EPHB2_Homo sapiens	2	kinase
TYK2_Homo sapiens	2	kinase
SGK3_Homo sapiens	2	kinase
RHEB_Homo sapiens	2	kinase
NME1_Homo sapiens	2	kinase
FLT3_Homo sapiens	2	kinase
MET_Homo sapiens	2	kinase
MKNK1_Homo sapiens	2	kinase
BRSK2_Homo sapiens	2	kinase
BCR_Homo sapiens	2	kinase
EPHA3_Homo sapiens	2	kinase
BRSK1_Homo sapiens	2	kinase
PHKG1_Homo sapiens	2	kinase
BRAF_Homo sapiens	2	kinase
PRKAR2B_Homo sapiens	2	kinase
TGFBR2_Homo sapiens	2	kinase
DAPK1_Homo sapiens	2	kinase
MAPK11_Homo sapiens	2	kinase
PAK7_Homo sapiens	2	kinase
JAK3_Homo sapiens	2	kinase
RHEBL1_Homo sapiens	2	kinase
KIT_Homo sapiens	2	kinase
IGF1R_Homo sapiens	2	kinase
BLK_Homo sapiens	2	kinase
TESK1_Homo sapiens	2	kinase
MAP2K3_Homo sapiens	2	kinase
TESK2_Homo sapiens	2	kinase
MAP2K7_Homo sapiens	2	kinase
TGFBR1_Homo sapiens	2	kinase
OXSR1_Homo sapiens	2	kinase
MAP3K5_Homo sapiens	2	kinase
PTK6_Homo sapiens	2	kinase
SIK2_Homo sapiens	2	kinase
STK25_Homo sapiens	2	kinase
MAP4K1_Homo sapiens	2	kinase
GRK1_Homo sapiens	2	kinase
UHMK1_Homo sapiens	1	kinase
PRKAR2A_Homo sapiens	1	kinase
PKMYT1_Homo sapiens	1	kinase
PIM3_Homo sapiens	1	kinase
PKN3_Homo sapiens	1	kinase
PRKAR1A_Homo sapiens	1	kinase
PRKACB_Homo sapiens	1	kinase
VRK1_Homo sapiens	1	kinase
SIK3_Homo sapiens	1	kinase
PRKCI_Homo sapiens	1	kinase
TAOK1_Homo sapiens	1	kinase
SIK1_Homo sapiens	1	kinase
SHC1_Homo sapiens	1	kinase
SHB_Homo sapiens	1	kinase
SLK_Homo sapiens	1	kinase
STK10_Homo sapiens	1	kinase
STK38_Homo sapiens	1	kinase
STK3_Homo sapiens	1	kinase
STK4_Homo sapiens	1	kinase
TAF1_Homo sapiens	1	kinase
RORC_Homo sapiens	1	kinase
ROCK2_Homo sapiens	1	kinase
TAOK2_Homo sapiens	1	kinase
TTN_Homo sapiens	1	kinase
TBK1_Homo sapiens	1	kinase
TEK_Homo sapiens	1	kinase
RAD17_Homo sapiens	1	kinase
PTPN11_Homo sapiens	1	kinase
PRKRIR_Homo sapiens	1	kinase
TNIK_Homo sapiens	1	kinase
TRPM7_Homo sapiens	1	kinase
TSSK4_Homo sapiens	1	kinase
PRKD3_Homo sapiens	1	kinase
PRKD2_Homo sapiens	1	kinase
TTBK1_Homo sapiens	1	kinase
PIM2_Homo sapiens	1	kinase
MAPK13_Homo sapiens	1	kinase
PIK3CG_Homo sapiens	1	kinase
PIK3CA_Homo sapiens	1	kinase
CRK_Homo sapiens	1	kinase
